conversation_id,turn_id,role,audio_file,text
4,1,caller,01_greeting.mp3,[Greeting and introduction]
4,2,customer,,Hello?
4,3,caller,02_reason_for_call.mp3,"[Explain it's about stock market opportunities, ask for 27 seconds]"
4,4,customer,,I can't hear you very well.
4,5,caller,15_cant_hear_clearly.mp3,[Ask if they can hear now]
4,6,customer,,A little better now.
4,7,caller,16_now_hear.mp3,[Confirm they can hear and continue]
4,8,customer,,"Okay, go on."
4,9,caller,04_company_intro.mp3,[Brief company introduction]
4,10,customer,,Interesting.
4,11,caller,05_follow_stocks.mp3,[Ask if they follow stocks]
4,12,customer,,"Yes, I do."
4,13,caller,07_join_whatsapp.mp3,[Invite to join WhatsApp group for market insights]
4,14,customer,,Sounds good. What's the number?
4,15,caller,10_show_interest.mp3,"[If interested, provide number to join]"
4,16,customer,,"Thanks, I'm 52."
4,17,caller,13_thanks_for_joining.mp3,[Thank them for joining]
5,1,caller,01_greeting.mp3,[Greeting and introduction]
5,2,customer,,Hello.
5,3,caller,02_reason_for_call.mp3,"[Explain it's about stock market opportunities, ask for 27 seconds]"
5,4,customer,,"Okay, but how did you get my number?"
5,5,caller,17_how_contacted.mp3,[Explain how we got their contact information]
5,6,customer,,Right.
5,7,caller,04_company_intro.mp3,[Brief company introduction]
5,8,customer,,"So, you're not a robot?"
5,9,caller,18_not_robot.mp3,[Clarify it's a real person (Zaid) calling]
5,10,customer,,"Okay, Zaid."
5,11,caller,19_who_speaking.mp3,[Introduce Zaid and ask if they want to know more]
5,12,customer,,"Yes, tell me more."
5,13,caller,05_follow_stocks.mp3,[Ask if they follow stocks]
5,14,customer,,I do.
5,15,caller,07_join_whatsapp.mp3,[Invite to join WhatsApp group for market insights]
5,16,customer,,I'm interested.
5,17,caller,10_show_interest.mp3,"[If interested, provide number to join]"
5,18,customer,,I'm 60 years old.
5,19,caller,13_thanks_for_joining.mp3,[Thank them for joining]
6,1,caller,01_greeting.mp3,[Greeting and introduction]
6,2,customer,,Hello.
6,3,caller,02_reason_for_call.mp3,"[Explain it's about stock market opportunities, ask for 27 seconds]"
6,4,customer,,"Okay, I'm listening."
6,5,caller,04_company_intro.mp3,[Brief company introduction]
6,6,customer,,What kind of investment options do you offer?
6,7,caller,21_investment_options.mp3,[Overview of investment options offered]
6,8,customer,,Interesting.
6,9,caller,05_follow_stocks.mp3,[Ask if they follow stocks]
6,10,customer,,"Yes, I do."
6,11,caller,07_join_whatsapp.mp3,[Invite to join WhatsApp group for market insights]
6,12,customer,,I'd like to join.
6,13,caller,10_show_interest.mp3,"[If interested, provide number to join]"
6,14,customer,,I'm 42 years old.
6,15,caller,13_thanks_for_joining.mp3,[Thank them for joining]
7,1,caller,01_greeting.mp3,[Greeting and introduction]
7,2,customer,,Hello.
7,3,caller,02_reason_for_call.mp3,"[Explain it's about stock market opportunities, ask for 27 seconds]"
7,4,customer,,"Okay, I'm interested."
7,5,caller,04_company_intro.mp3,[Brief company introduction]
7,6,customer,,Can you tell me more about your services?
7,7,caller,22_schedule_consultation.mp3,[Offer to schedule a detailed consultation]
7,8,customer,,"Yes, I'd like to schedule a consultation."
7,9,caller,23_customer_questions.mp3,[Invite customer to ask any questions]
7,10,customer,,I have a few questions.
7,11,caller,22_schedule_consultation.mp3,[Offer to schedule a detailed consultation]
7,12,customer,,"Okay, let's schedule it."
7,13,caller,05_follow_stocks.mp3,[Ask if they follow stocks]
7,14,customer,,"Yes, I do."
7,15,caller,07_join_whatsapp.mp3,[Invite to join WhatsApp group for market insights]
7,16,customer,,I'll join the group.
7,17,caller,10_show_interest.mp3,"[If interested, provide number to join]"
7,18,customer,,I'm 55 years old.
7,19,caller,13_thanks_for_joining.mp3,[Thank them for joining]
8,1,caller,01_greeting.mp3,[Greeting and introduction]
8,2,customer,,Hello.
8,3,caller,02_reason_for_call.mp3,"[Explain it's about stock market opportunities, ask for 27 seconds]"
8,4,customer,,"Okay, I'm listening."
8,5,caller,04_company_intro.mp3,[Brief company introduction]
8,6,customer,,I'm not really interested in joining a group.
